학번,전공1,전공2,전공3,전공4
2012-13383,심리학전공,생명과학전공,,
2012-13385,경영학전공,컴퓨터공학전공,,
2012-13386,화학생물공학전공,,,
2012-13387,경제학전공,컴퓨터공학전공,,
2012-13388,전기·정보공학전공,,,
2012-13389,경제학전공,화학전공,,
2012-13391,경영학전공,기계항공공학전공,,
2012-13392,전기·정보공학전공,금융공학,,
2012-13393,경영학전공,,,
2012-13394,경제학전공,컴퓨터공학전공,,
2012-13396,경영학전공,,,
2012-13398,수리과학전공,,,
2012-13399,언어학전공,인공지능 인터랙션 공학,,
2012-13400,심리학전공,생명과학전공,,
2012-13401,전기·정보공학전공,,,
2012-13404,연합전공 정보문화학,컴퓨터공학전공,,
2012-13405,컴퓨터공학전공,,,
2012-13406,경영학전공,컴퓨터공학전공,,
2012-13407,수리과학전공,,,
2012-13408,심리학전공,,,
2012-13410,연합전공 정보문화학,연합전공 글로벌환경경영학,,
2012-13411,경제학전공,경영학전공,,
2012-13412,생명과학전공,,,
2012-13413,경영학전공,미디어마케팅전략학,,
2012-13414,경제학전공,,,
2012-13415,연합전공 정보문화학,정치학전공,,
2012-13416,컴퓨터공학전공,계약제도학,,
2012-13417,통계학전공,,,
2012-13418,경제학전공,통계학전공,,
2012-13419,경영학전공,재무금융,,
2012-13420,경제학전공,생명과학전공,전기·정보공학전공,
2012-13484,경제학전공,국제개발협력학,,
2012-13485,경제학전공,,,
2013-13323,미학전공,경영학전공,,
2013-13324,경제학전공,정치학전공,,
2013-13325,경영학전공,,,
2013-13326,사회복지학전공,경제학전공,,
2013-13327,미학전공,경영학전공,,
2013-13328,연합전공 정보문화학,경제학전공,,
2013-13329,심리학전공,경영학전공,,
2013-13330,지구환경과학전공,연합전공 글로벌환경경영학,,
2013-13331,사회학전공,경제학전공,,
2013-13332,경제학전공,정치학전공,,
2013-13333,정치학전공,경영학전공,,
2013-13334,서양사학전공,경제학전공,,
2013-13335,정치학전공,경영학전공,,
2013-13337,언론정보학전공,경영학전공,,
2013-13338,종교학전공,정치학전공,,
2013-13339,경영학전공,중국학,,
2013-13340,인류학전공,생명과학전공,,
2013-13343,정치학전공,,,
2013-13344,경영학전공,,,
2013-13345,사회학전공,심리학전공,,
2013-13346,중어중문학전공,사회학전공,,
2013-13347,철학전공,경제학전공,,
2013-13348,정치학전공,경영학전공,,
2013-13349,경제학전공,외교학전공,,
2013-13350,연합전공 벤처경영학,전산생물학,,
2013-13351,경영학전공,미적가치경영학,,
2013-13352,경영학전공,,,
2013-13353,경제학전공,,,
2013-13354,외교학전공,사회소통학,,
2013-13355,경제학전공,,,
2013-13356,경제학전공,문화커뮤니케이션,,
2013-13357,심리학전공,경제학전공,,
2013-13358,심리학전공,생명과학전공,,
2013-13359,연합전공 정보문화학,경제학전공,,
2013-13360,언론정보학전공,시각디자인전공,,
2013-13361,미학전공,사회학전공,,
2013-13362,인류학전공,,,
2013-13363,경영학전공,,,
2013-13364,경영학전공,,,
2013-13365,사회복지학전공,경제학전공,,
2013-13366,경영학전공,인간행동생태학,,
2013-13367,중어중문학전공,경영학전공,,
2013-13368,경제학전공,인적자원개발학,,
2013-13370,사회복지학전공,언론정보학전공,,
2013-13371,심리학전공,인권학,,
2013-13372,정치학전공,경영학전공,,
2013-13373,경제학전공,연합전공 글로벌환경경영학,,
2013-13374,경제학전공,데이터과학,,
2013-13376,서양사학전공,외교학전공,,
2013-13377,언론정보학전공,외교학전공,,
2013-13378,컴퓨터공학전공,신체 운동학,,
2013-13379,경영학전공,생명과학전공,,
2013-13380,경제학전공,수리과학전공,,
2013-13381,컴퓨터공학전공,,,
2013-13382,연합전공 정보문화학,경영학전공,,
2013-13383,철학전공,경제학전공,,
2013-13385,경영학전공,,,
2013-13386,연합전공 정보문화학,산업공학전공,,
2013-13387,심리학전공,,,
2013-13388,경영학전공,컴퓨터공학전공,,
2013-13390,경영학전공,,,
2013-13391,심리학전공,언론정보학전공,,
2013-13392,심리학전공,경제학전공,,
